Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
69,3, I have become more cometent in this area due to this course,10,"course, liked, did, improve, taught",Topic: Course Liked Did
70,3, I have learned a great deal in this course,10,"course, liked, did, improve, taught",Topic: Course Liked Did
93,3, The overall quality of this course was exceptionally high,10,"course, liked, did, improve, taught",Topic: Course Liked Did
95,3, The progression of this course was logical and coherent from beginning to end,10,"course, liked, did, improve, taught",Topic: Course Liked Did
96,3, This course improved my understanding of concepts and principles in this field,10,"course, liked, did, improve, taught",Topic: Course Liked Did
104,3," When registering for this course, my opinion about the course was positive",10,"course, liked, did, improve, taught",Topic: Course Liked Did
105,3," When registering for this course, my opinion about the instructor was positive",10,"course, liked, did, improve, taught",Topic: Course Liked Did
109,4, Course assignments were clear and explicit,10,"course, liked, did, improve, taught",Topic: Course Liked Did
118,4, Texts and material in this course were useful,10,"course, liked, did, improve, taught",Topic: Course Liked Did
132,4, This course was academically challenging,10,"course, liked, did, improve, taught",Topic: Course Liked Did
134,4, This course will contribute to my development as a social work professional,10,"course, liked, did, improve, taught",Topic: Course Liked Did
151,5,The instructor actively helped students plan and manage their workload in this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
170,5,The projects and assignments in this course provided valuable learning experiences.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
171,5,The projects and assignments in this course were interesting and stimulating.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
172,5,"The tests, projects and papers required in this course are a good measure of my performance and knowledge of the course material.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
176,5,What are the overall aspects of this learning experience that you think you will remember and value most from this course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
178,5,"What suggestions would you make to improve your educational experience in this studio, lecture course, or seminar?",10,"course, liked, did, improve, taught",Topic: Course Liked Did
179,6,I have become more competent in this area due to this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
180,6,I have learned a great deal in this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
197,6,The overall quality of this course was exceptionally high.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
199,6,The progression of this course was logical and coherent from beginning to end.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
200,6,This course improved my understanding of concepts and principles in this field.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
201,6,This course was...,10,"course, liked, did, improve, taught",Topic: Course Liked Did
204,6,"When registering for this course, my opinion about the course was positive.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
205,6,"When registering for this course, my opinion about the instructor was positive.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
214,7,The facilities adequately met course needs.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
226,8,"Given a choice, I would take another course from this instructor.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
229,8,Is this a course an elective?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
252,8,The pace of this course was comfortable.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
256,8,The textbook/course packets were used effectively in this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
257,8,This course contributed to my professional development.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
263,9,How could the instructor improve the course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
269,9,Reason I enrolled in this course:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
270,9,"Tests, examinations, projects, papers, or creative activities reflected materials emphasized in the course.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
287,10,Course assignments were clear and explicit.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
291,10,Texts and materials in this course were useful.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
301,10,This course was academically challenging.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
302,10,This course was:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
303,10,"This course will contribute to my development as a social work professional.<br> (For <b>DOCTORAL STUDENTS</b>: This course content will contribute to my development as a doctoral professional (e.g., researcher, faculty member, agency administrator).",10,"course, liked, did, improve, taught",Topic: Course Liked Did
307,10,What did you like best about this course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
308,10,What do you suggest to improve this course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
331,12,Contribution to my professional growth and development,10,"course, liked, did, improve, taught",Topic: Course Liked Did
332,12,Course Delivery,10,"course, liked, did, improve, taught",Topic: Course Liked Did
336,12,I had a desire to take this course,10,"course, liked, did, improve, taught",Topic: Course Liked Did
353,12,What have you liked least about the course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
354,12,What have you liked most about the course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
377,13,What have you liked least about this course and why?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
378,13,What have you liked most about this course and why?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
386,14,I would rate the difficulty level of this course as:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
396,14,The instructor was enthusiastic about the course material.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
405,14,This course included:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
430,16,This Course is...,10,"course, liked, did, improve, taught",Topic: Course Liked Did
455,18,How did the workload in this course compare with other science and engineering courses at the University of Houston?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
456,18,How difficult did you find this course in comparison to other science and engineering courses at the University of Houston?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
457,18,"If this course had a significant experimental component, what was your impression of the computing equipment and software provided to support the course?",10,"course, liked, did, improve, taught",Topic: Course Liked Did
463,18,The instructor showed interest and enthusiasm for the course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
467,18,The reason you enrolled in this course was?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
470,18,"Was the textbook (and/or course material, as applicable) well written and supportive of objectives of the course?",10,"course, liked, did, improve, taught",Topic: Course Liked Did
471,18,Was this course interesting and exciting?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
475,18,"You may state what the instructor did particularly well, what the instructor should do to improve, or how the course met or did not meet your expectations, or you may expand on your responses to the other items in this form. Comments about teaching assist",10,"course, liked, did, improve, taught",Topic: Course Liked Did
478,19,How could the course content or structure be improved?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
492,19,The course was harder than I thought it would be when I entered the course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
506,19,What was the best part(s) of the course? (e.g.  that you enjoyed the most or got the most out of),10,"course, liked, did, improve, taught",Topic: Course Liked Did
550,22,I was interested in taking this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
551,22,I would like to take another physics course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
552,22,"If I take another course in physics, I would want to take it from this instructor.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
566,22,The work in the course was more than required for my other courses.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
569,22,This form allowed me to effectively evaluate both the instructor and the course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
581,24,"Relative to other Law courses, I have learned substantially more in this course.",10,"course, liked, did, improve, taught",Topic: Course Liked Did
592,24,This course will make me a better lawyer.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
595,33,How did the workload in this course compare with other STEM courses at the University of Houston?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
596,33,How difficult did you find this course in comparison to other STEM courses at the University of Houston?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
609,33,Why did you take this course?,10,"course, liked, did, improve, taught",Topic: Course Liked Did
637,35,My professional growth was enhanced by this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
641,35,The course activities helped me meet course objectives.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
648,35,The instructor's overall performance in this course was excellent.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
651,35,The reading assignments helped me meet the course objectives.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
652,35,The required course materials helped me meet course objectives.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
744,46,Overall this was a value course,10,"course, liked, did, improve, taught",Topic: Course Liked Did
827,105,What aspects of the course and/or instructor were the most helpful to you? ,10,"course, liked, did, improve, taught",Topic: Course Liked Did
828,105,"What suggestions, if any, would you make to improve this course?",10,"course, liked, did, improve, taught",Topic: Course Liked Did
916,222,I read all the additional material posted on the course's LMS (Blackboard or Canvas).,10,"course, liked, did, improve, taught",Topic: Course Liked Did
1530,728,I participated in mid-course feedback with the LPC director during this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
1542,728,The course director was accessible and responsive to student problems encountered during this course.,10,"course, liked, did, improve, taught",Topic: Course Liked Did
12,1,The amount of material covered was appropriate,11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
212,7,The amount of material covered was appropriate for the allotted time.,11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
808,70,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.,11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
814,70,The workload for this course was appropriate for the breadth and depth of material covered.,11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1333,718,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.,11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1439,722,"Workload balance, (in-class and out-of-class for this course) was appropriate for the breadth and depth of the material covered.",11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1483,724,"Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.",11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1485,725," Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.",11,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
26,1,This course lived up to my expectations,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
57,2, The procedures for providing feedback information were such that I knew how I was progressing in the course,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
234,8,The expectations for work in this course were clearly stated.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
276,9,The instructor provided a syllabus and reviewed course expectations at the beginning of the semester.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
341,12,Level to which this course met my learning expectations,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
491,19,The course procedures and expectations were clearly communicated.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
597,33,"The course syllabus, policies and expectations were clearly communicated and followed.",12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
643,35,The instructor clearly communicated course expectations.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
773,52,The procedures for providing feedback information were such that I knew how I was progressing in the course.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
839,108,The instructor communicated well with students.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
981,521,The procedures for providing feedback information were such that I knew how I was progressing in the course,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
1149,709, The student mistreatment policy and procedures for reporting student mistreatment were provided and clearly outlined.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
1163,709,The clinical duty hours policy and procedures for reporting violations was provided and clearly outlined.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
1221,712,The clinical duty hours policy and procedures for reporting violations were provided and clearly outlined.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
1628,992,The instructor made course expectations clear at the beginning of the semester.,12,"expectations, communicated, procedures, clearly, course",Topic: Expectations Communicated Procedures
19,1,The instructor or the TA provided timely feedback about my progress during the semester,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
227,8,I was provided feedback throughout the laboratory on my performance and/or understanding.,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
576,23,The instructor or TA provided timely feedback and was available to discuss my progress,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
638,35,The clinical experience provided me with opportunities to develop clinical reasoning.,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
640,35,The clinical experience provided opportunities to collaborate with the healthcare team.,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
1321,718,Opportunities for quality and timely formative feedback were provided.,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
1475,724,The course materials and community-based experiential opportunities facilitated my learning.,13,"opportunities, provided, timely, feedback, formative",Topic: Opportunities Provided Timely
24,1,The overall teaching effectiveness of this instructor is,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
56,2, The overall teaching effectiveness of this instructor is,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
198,6,The overall teaching effectiveness of this instructor is ,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
589,24,The overall teaching effectiveness of the instructor is:,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
1096,705,The overall teaching effectiveness of this preceptor is,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
1226,712,The overall teaching effectiveness of LIC Directors is,14,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
558,22,The grading was clearly defined from the beginning of the course.,15,"defined, student, performance, expectations, clearly",Topic: Defined Student Performance
797,70,Expectations for student performance in the course were clearly defined.,15,"defined, student, performance, expectations, clearly",Topic: Defined Student Performance
1320,718,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance).",15,"defined, student, performance, expectations, clearly",Topic: Defined Student Performance
1432,722,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance).",15,"defined, student, performance, expectations, clearly",Topic: Defined Student Performance
111,4, Course content addressed issues of diversity,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
289,10,Course content addressed issues of diversity.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
1242,713,Preceptors and residents respect diversity.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
1251,714,I observed this faculty member mistreating others.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
1257,714,This faculty member respects diversity.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
1528,728,Faculty respect diversity.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
1538,728,Preceptors respect diversity.,16,"diversity, faculty, member, respects, mistreating",Topic: Diversity Faculty Member
18,1,The instructor or the TA presented this course material in a clear and organized manner,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
140,5,Class time was organized and used effectively to facilitate learning.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
160,5,The instructor presented course material in a clear and understandable manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
239,8,The instructor presented the labs in an organized format.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
275,9,"The instructor presented the course in a clear, logical and organized manner.",17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
393,14,The instructor presented the course material in a clear and organized manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
461,18,The instructor is well organized.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
462,18,The instructor presented the course in a clear and logical manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
500,19,The lectures were well organized.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
539,21,The course was well organized.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
599,33,The instructor presented the course material in a clear and logical manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
600,33,The instructor was well prepared and well organized.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
645,35,The instructor organized the course to facilitate learning.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
751,47,The instructor presented the material in a well organized manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
766,52,The instructor treated the students in an appropriate manner in the classroom.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
787,64,The facilitator presented the material in a clear manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
811,70,The instructor was well-organized and prepared.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
845,108,The instructor presented the content in a clear manner.,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
974,521,The instructor treated the students in an appropriate manner in the classroom,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
993,522,The instructor treated the students in an appropriate manner,17,"organized, manner, presented, instructor, clear",Topic: Organized Manner Presented
804,70,Student learning was fairly assessed.,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1335,718,What I learned was fairly assessed.,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1336,718,What I learned was reflective of the course objectives and materials taught.,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1437,722,What I learned was fairly assessed. ,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1438,722,What I learned was reflected in the course objectives and materials taught. ,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1482,724,What I learned was reflected in the course objectives and materials taught.,18,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
30,1,This instructor's demonstration of respect for students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
61,2, This instructor's demonstration of respect for students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
175,5,This instructor’s demonstration of respect for students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
432,16,This instructors demonstration of respect for students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
469,18,This instructor’s demonstration of respect for all students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
587,24,The instructor's demonstration of respect for all students is:,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
891,146,The instructor's demonstration of respect for all students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
1216,712,LIC Directors' demonstration of respect for students is,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
1623,992,The instructor demonstrated respect for students.,19,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
50,2, The instructor was an effective teacher compared to other instructors,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
78,3," Overall, the instructor was an effective teacher",20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
159,5,The instructor is an effective teacher.,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
183,6,"Overall, the instructor was an effective teacher.",20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
242,8,The instructor was an effective teacher.,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
290,10,How could the instructor improve as a teacher?,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
767,52,The instructor was an effective teacher compared to other instructors.,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
975,521,The instructor was an effective teacher compared to other instructors,20,"teacher, effective, instructor, compared, instructors",Topic: Teacher Effective Instructor
1228,712,"There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the LIC director, academic half-day director, and TJFFCOM staff.",21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1248,713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by clerkship directors and TJFFCOM staff.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1249,713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors and residents.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1255,714,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1334,718,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1546,728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by faculty.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1547,728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors.,21,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
36,2, Comments,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
148,5,Other comments/suggestions:,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
184,6,Please use the space below for your comments on the instructor.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
208,7,Course Comments | Comments on how the course met its stated objectives,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
211,7,Instructor Comments | Comments related to the effectiveness of the instructor,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
284,9,What other comments and suggestions would you like to make about the instructor or the course?,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
342,12,Other comments,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
369,13,Other comments and suggestions,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
413,15,Please use the space below for your comments on the instructor and/or course.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
489,19,Other comments/suggestions?,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
580,24,Please use the space below for your comments on the course and/or the instructor. Your comments will be given to the instructor only after grades have been assigned.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
593,33,Comments,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
748,47,General comments about the instructor can be provided below:,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
776,52,What comments and suggestions would you like to make about the instructor or the course?,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
801,70,Please list any comments you have for this instructor.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
900,207,Instructor Comments | Comments related to the effectiveness of the instructors/speakers,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
922,222,Please use the space below for your comments on the TA and/or course.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
959,501,Please use the space below for your comments on the course.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
965,521,Comments on what needs to be improved in the course,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
966,521,Comments on what went well in the course,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
967,521,"General comments, opinions, and suggestions",22,"comments, instructor, list, space, use",Topic: Comments Instructor List
1066,703,Please list any comments you have for this instructor. ,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
1250,714,Any other comments about this faculty member that have not been addressed elsewhere.,22,"comments, instructor, list, space, use",Topic: Comments Instructor List
85,3, The instructor was accessible for student conferences about this course,23,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
191,6,The instructor was accessible for student conferences about the course.,23,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1317,718,Course director(s) was/were accessible to address student concerns during the course.,23,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1319,718,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.,23,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
11,1,My current classification is:,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
43,2, My current classification is:,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
260,8,What is your classification?,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
261,9,Classification:,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
330,12,Classification,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
366,13,My classification is:,24,"classification, current, weather, ways, way",Topic: Classification Current Weather
846,108,The instructor provided constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1222,712,"The LIC director, academic half-day director, and TJFFCOM staff provide direction and constructive feedback.",25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1231,713,Clerkship directors provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1241,713,Preceptors and residents provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1256,714,This faculty member provided direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1327,718,The course director(s) provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1527,728,Faculty provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1537,728,Preceptors provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
803,70,Please list the aspects of this course that helped to facilitate your learning,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
1160,709,Please list the aspects of this clerkship that you believe helped to facilitate your learning. ,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
1220,712,Please list the aspects of LIC (as a whole) that you believe helped to facilitate your learning.,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
1240,713,Please list the aspects of this clerkship that you believe helped to facilitate your learning.,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
1252,714,Please list how this faculty member helped to facilitate your learning.,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
1324,718,Please list the aspects of this course that you believe helped to facilitate your learning.,26,"helped, aspects, facilitate, list, learning",Topic: Helped Aspects Facilitate
84,3, The instructor seemed well prepared for classes,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
126,4, The instructor was well prepared,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
143,5,I had a good sense of what is expected of me by the instructor in this class.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
190,6,The instructor seemed well prepared for classes.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
207,7,"Based on what I have seen in this class, I believe this instructor is an effective educator.",27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
220,7,The prerequisite courses prepared me for the material in this course.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
238,8,The instructor outlined objective for each class.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
245,8,The instructor was well prepared for regular class meetings. ,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
246,8,The instructor was well prepared for the lab.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
266,9,How often did you miss class?,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
277,9,The instructor was well prepared for class.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
298,10,The instructor was well prepared.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
320,11,The instructor was prepared.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
370,13,Quality of class discussions,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
389,14,My class level is:,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
397,14,The instructor was prepared for class.,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
400,14,The number of times that the instructor cancelled class or did not show up to teach was:,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
401,14,The number of times that the instructor was more than 10 minutes late to class was:,27,"class, prepared, instructor, discussion, improved",Topic: Class Prepared Instructor
