FormNumber,Question
44,"The instructor encouraged student participation, questions, and discussion as the class size allowed."
44,"The instructor evaluated exams, quizzes, papers or creative activities in a timely manner."
44,"The instructor presented the course in a clear, logical and organized manner."
44,The instructor provided a syllabus and reviewed course expectations at the beginning of the semester.
44,The instructor was well prepared for class.
44,The musical quality of the repertoire covered is generally high.
44,The overall quality of this course is
44,The overall teaching effectiveness of this instructor is
44,The quality of his/her musicianship is high.
44,The teaching assistant was available for assistance to students.
44,The teaching assistant was receptive to questions.
44,This instructor’s availability for individual assistance is
44,This instructor’s demonstration of respect for students is
44,We covered a sufficiently large & representative repertoire in keeping with ability & experience of the members of the ensemble.
44,What other comments and suggestions would you like to make about the instructor or the course?
44,"What, specifically, were the strengths of the class?"
44,Would you recommend this instructor to other students? Why?
45,Please use the space below for your comments on the instructor and/or course.
45,The overall quality of this course is
45,The overall teaching effectiveness of this instructor is
45,This instructors availability for individual assistance is
45,This instructors demonstration of respect for students is
46,Amount of work required was consistent with the credit hours earned.
46,Course objectives were clearly outlined and explained.
46,Examinations were a fair and accurate representation of material assigned.
46,"Grading seems fair, accurate and consistent."
46,Overall this was a value course
46,Please provide any other comments you would like regarding this course:
46,Required readings/textbook were valuable.
46,Work assigned was a useful tool for learning the material covered.
47,General comments about the instructor can be provided below:
47,"Overall, the instructor was an effective teacher."
47,The instructor made the material relevant by discussing applications.
47,The instructor presented the material in a well organized manner.
47,The instructor presented understandable lectures.
47,"The instructor was available (in class, in the office, via E-mail,etc.) for individual consultation."
47,The instructor was concerned with the students’ ability to understand the material and encouraged
50,Please use the space below for your comments on the instructor and/or course.
50,The overall quality of this course is
50,The overall teaching effectiveness of this instructor is
50,This instructors availability for individual assistance is
50,This instructors demonstration of respect for students is
52,I will recommend this instructor to other students for the same course.
52,The grading system seemed fair.
52,The instructor generally was available to consult with and assist students.
52,The instructor presented the subject matter for this course clearly by using effective teaching techniques.
52,The instructor set forth course requirements clearly and relatively early in the semester.
52,The instructor stimulated my mental curiosity.
52,The instructor treated the students in an appropriate manner in the classroom.
52,The instructor was an effective teacher compared to other instructors.
52,The instructor was enthusiastic in encouraging students to focus on the subject material.
52,The instructor was receptive to questions and alternate points of view of the subject material.
52,The instructor was well prepared for class.
52,The overall quality of this course is
52,The overall teaching effectiveness of this instructor is
52,The procedures for providing feedback information were such that I knew how I was progressing in the course.
52,This instructor’s availability for individual assistance is
52,This instructor’s demonstration of respect for students is
52,What comments and suggestions would you like to make about the instructor or the course?
64,I am overall satisfied with the workshop.
64,"I feel as though I will receive a grade of a ""B"" or higher in the lecture associated with this workshop."
64,I would recommend this facilitator for future workshops.
64,I would recommend this workshop to another student.
64,Please use the space below for any comments about the workshop and/or the facilitator. We rely on your feedback to ensure that the workshops are a success!
64,The content of the workshop directly relates to the lecture.
64,The facilitator is always on time.
64,The facilitator is approachable and receptive to questions.
64,The facilitator is consistently well prepared and organized for class.
64,The facilitator never intimidates or embarrasses students.
64,The facilitator presented the material in a clear manner.
64,The facilitator retaught the concepts effectively.
64,The overall quality of this course is
64,The overall teaching effectiveness of this instructor is
64,The workshop allows time for group/partner interaction.
64,The workshop is effective/worth attending.
64,The workshop is well structured.
64,This instructor’s availability for individual assistance is
64,This instructor’s demonstration of respect for students is
70,Additional comments
70,Expectations for student performance in the course were clearly defined.
70,"In-class course materials, assignments, and activities helped facilitate my learning."
70,Learning spaces were appropriate for course activities.
70,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
70,Please list any comments you have for this instructor.
70,Please list suggestions for other ways to help facilitate student learning in this course. 
70,Please list the aspects of this course that helped to facilitate your learning
70,Student learning was fairly assessed.
70,The amount and quality of faculty/staff support were sufficient for course activities.
70,The amount and quality of formal formative feedback were sufficient.
70,The amount and quality of IT resources and support were sufficient for course activities.
70,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
70,The instructor encouraged student participation and questions in class.
70,The instructor presented the subject matter clearly.
70,The instructor was well-organized and prepared.
70,The overall quality of this course is
70,The overall teaching effectiveness of this instructor is
70,The workload for this course was appropriate for the breadth and depth of material covered.
70,This instructor’s availability for individual assistance is
70,This instructor’s demonstration of respect for students is
105,"In this course, I expect to receive a grade of:"
105,My overall Grade Point Average is:
105,The course was organized and effective for learning the subject matter.
105,The instructor encouraged self-evaluation and continual improvement.
105,The instructor facilitated and encouraged critical thinking.
105,The instructor fostered a good environment for learning and exploration.
105,The overall quality of this course is
105,The overall teaching effectiveness of this instructor is
105,This instructor’s availability for individual assistance is
105,This instructor’s demonstration of respect for students is
105,What aspects of the course and/or instructor were the most helpful to you? 
105,"What suggestions, if any, would you make to improve this course?"
108,Assignments were graded in a timely manner.
108,Final Grade I expect to receive in this course is:
108,"Given a choice, I would take another class from this instructor."
108,Is this a course an elective?
108,Is this a course in your major?
108,My cumulative GPA is:
108,Number of classes missed
108,"Please include your comments about the class discussions, readings, papers or projects, examinations or teaching style"
108,The grading practices were clear.
108,The instructor challenged me to do my best work in this class.
108,The instructor communicated well with students.
108,The instructor communicated why the content of this class was important.
108,The instructor demonstrated a commitment to student learning.
108,The instructor demonstrated appropriate expertise in the subject matter.
108,The instructor effectively engaged students in the learning process.
108,The instructor outlined the objective(s) for each class session.
108,The instructor presented the content in a clear manner.
108,The instructor provided constructive feedback.
108,"The instructor was available for assistance (e.g., email, office hours, appointments)."
108,The overall quality of this course is
108,The overall teaching effectiveness of this instructor is
108,The pace of this class was appropriate given the subject matter.
108,This instructor’s availability for individual assistance is
108,This instructor’s demonstration of respect for students is
108,What is your classification?
121,"Based on what I have seen in this class, I believe this instructor is an effective educator."
121,Classification
121,Contribution to my professional growth and development
121,Course Delivery
121,Expected Course Grade
121,Fairness of grading
121,Gender
121,I had a desire to take this course
121,Instructional effectiveness
121,Instructor organization
121,Instructor presentation of material
121,Intructor response to student questions
121,Level to which this course met my learning expectations
121,Other comments
121,Overall GPA
121,Quality of text books
121,Student Major (Graduate)
121,Student Major (Undergraduate)
121,The instructor remained in the room while I filled out this evaluation.
121,The overall quality of this course is
121,The overall teaching effectiveness of this instructor is
121,This course meets my requirements for:
121,This instructor's availability for individual assistance is
121,This instructor's demonstration of respect for students is
121,What have you liked least about the course?
121,What have you liked most about the course?
146,Amount of work required was consistent with the credit hours earned.
146,Course objectives were clearly outlined and explained.
146,Examinations were a fair and accurate representation of material assigned.
146,General comments about the instructor can be provided below:
146,"Grading seems fair, accurate and consistent."
146,Please provide any other comments you would like regarding this course:
146,Required readings/textbook were valuable.
146,The instructor made the material relevant by discussing applications.
146,The instructor presented the material in a well organized manner.
146,The instructor presented understandable lectures.
146,The instructor was concerned with the students’ ability to understand the material and encouraged
146,The instructor's demonstration of respect for all students is
146,The overall quality of this course is
146,The overall teaching effectiveness of this instructor is
146,This instructor's availability for individual assistance is
146,Work assigned was a useful tool for learning the material covered.
207,"Based on what I have seen in this class, I believe the use of multiple instructors created an effective learning environment."
207,Course Comments | Comments on how the course met its stated objectives
207,Final grade you expect to receive in this course is:
207,I am interested in the course subject.
207,Instructor Comments | Comments related to the effectiveness of the instructors/speakers
207,"Overall, the instructors/speakers presented the material clearly and effectively."
207,The amount of material covered was appropriate for the allotted time.
207,The expected course outcomes were presented clearly during the course of the semester.
207,The facilities adequately met course needs.
207,"The instructors/speakers encouraged interaction with the class, listened to and responded to questions from the students."
207,The material presented fit well with the course outcomes.
207,The overall quality of this course is
207,The overall teaching effectiveness of this instructor is
207,The prerequisite courses prepared me for the material in this course.
207,The teaching assistant was available and helpful to the students.
207,This instructor’s availability for individual assistance is
207,This instructor’s demonstration of respect for students is
207,What is your cumulative G.P.A.?
222,Grading standards were clear and consistent.
222,I found visiting the Physics Learning Center to be helpful.
222,I read all the additional material posted on the course's LMS (Blackboard or Canvas).
222,I read all the emails sent by the instructor and the class syllabus carefully.
222,I read the Laboratory Manual and watched the videos before  the class at all times.
222,Laboratory Reports were graded in such a way that it was easy for the student to see their mistakes.
222,My TA was always on time for the class.
222,"Over the semester, the number of times per week I visited the Physics Learning Center was:"
222,Please use the space below for your comments on the TA and/or course.
222,"Quizzes, Laboratory Reports, and Pre-Laboratory Assignments were returned promptly."
222,TA was prepared for the class.
222,The overall quality of this course is
222,The overall teaching effectiveness of this instructor is
222,The TA circulated among students calling attention to incorrect practices.
222,The TA demonstrated respect to students.
222,"The TA was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments."
222,The TA was receptive to questions and provided sufficient aid and/or clarification when needed.
222,The TA's presentations clearly defined relevant goals and concepts.
222,The TAs at Physics Learning Center were able to help me with all my questions.
222,This instructors availability for individual assistance is
222,This instructors demonstration of respect for students is
351,Additional Comments Regarding the Course
351,My professional growth was enhanced by this course.
351,The course activities helped me meet course objectives.
351,The grading policies were clear.
351,The reading assignments helped me meet the course objectives.
351,The required course materials helped me meet course objectives.
352,Additional Comments for instructor
352,Additional Comments Regarding Clinical Experience
352,The clinical experience provided me with opportunities to develop clinical reasoning.
352,The clinical experience provided me with opportunities to develop the systematic plan of care for the assigned patient/population.
352,The clinical experience provided opportunities to collaborate with the healthcare team.
352,The instructor clearly communicated course expectations.
352,The instructor evaluated my performance as published in the syllabus.
352,The instructor organized the course to facilitate learning.
352,The instructor presented the content of the course clearly.
352,The instructor responded to me in a timely manner.
352,The instructor's overall performance in this course was excellent.
352,The overall quality of this course is
352,The overall teaching effectiveness of this instructor is
352,The total clinical experience was sufficient.
352,There was adequate instructor support to facilitate skill acquisition.
352,This instructor’s availability for individual assistance is
352,This instructor’s demonstration of respect for all students is
352,Time spent in the Simulated Learning Lab helped me to achieve my learning goals.
501,Please use the space below for your comments on the course.
501,The overall quality of this course is
502,Please use the space below for your comments on the instructor.
502,The overall teaching effectiveness of this instructor is
502,This instructors availability for individual assistance is
502,This instructors demonstration of respect for students is
521,Comments on what needs to be improved in the course
521,Comments on what went well in the course
521,"General comments, opinions, and suggestions"
521,I will recommend this instructor to other students for the same course
521,The grading system seemed fair
521,The instructor generally was available to consult with and assist students
521,The instructor presented the subject matter for this course clearly by using effective teaching techniques
521,The instructor set forth course requirements clearly and relatively early in the semester
521,The instructor stimulated my mental curiosity
521,The instructor treated the students in an appropriate manner in the classroom
521,The instructor was an effective teacher compared to other instructors
521,The instructor was enthusiastic in encouraging students to focus on the subject material
521,The instructor was receptive to questions and alternate points of view of the subject material
521,The instructor was well prepared for class
521,The overall quality of this course is
521,The overall teaching effectiveness of this instructor is
521,The procedures for providing feedback information were such that I knew how I was progressing in the course
521,This instructor's availability for individual assistance is
521,This instructor's demonstration of respect for students is
522,Comments on what needs to be improved in the course
522,Comments on what went well in the course
522,"General comments, opinions, and suggestions"
522,I will recommend this instructor to other students for the same course
522,The grading system seemed fair
522,The instructor generally was available to consult with and assist students
522,The instructor presented the subject matter for this course clearly by using effective teaching techniques
522,The instructor set forth course requirements clearly and relatively early in the semester
522,The instructor stimulated my mental curiosity
522,The instructor treated the students in an appropriate manner
522,The instructor was an effective teacher compared to other instructors
522,The instructor was enthusiastic in encouraging students to focus on the subject material
522,The instructor was receptive to questions and alternate points of view of the subject material
522,The instructor was well prepared for the course
522,The overall quality of this course is
522,The overall teaching effectiveness of this instructor is
522,The procedures for providing feedback information were such that I knew how I was progressing in the course
522,This instructor's availability for individual assistance is
522,This instructor's demonstration of respect for students is
523,Comments on what needs to be improved in the course
523,Comments on what went well in the course
523,"General comments, opinions, and suggestions"
523,I will recommend this study abroad experience to other students
523,The activities of this study abroad experience were effective in teaching the subject matter
523,The grading system seemed fair
523,The instructor generally was available to consult with and assist students
523,The instructor set forth requirements for the study abroad experience clearly and relatively early in the semester
523,The instructor treated the students in an appropriate manner
523,The instructor was an effective teacher compared to other instructors
523,The instructor was enthusiastic in encouraging students to focus on the study abroad experience's subject material
523,The instructor was receptive to questions and alternate points of view of the subject matter covered by the study abroad experience
523,The instructor was well prepared for the study abroad experience
523,The overall quality of this course is
523,The overall teaching effectiveness of this instructor is
523,The procedures for providing feedback information were such that I knew how I was progressing in the course
523,The study abroad experience stimulated my mental curiosity
523,This instructor's availability for individual assistance is
523,This instructor's demonstration of respect for students is
700,Additional comments
700,Expectations for student performance in the course were clearly defined.
700,"In-class course materials, assignments, and activities helped facilitate my learning."
700,Learning spaces were appropriate for course activities.
700,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
700,Please list any comments you have for this instructor.
700,Please list suggestions for other ways to help facilitate student learning in this course. 
700,Please list the aspects of this course that helped to facilitate your learning
700,Student learning was fairly assessed.
700,The amount and quality of faculty/staff support were sufficient for course activities.
700,The amount and quality of formal formative feedback were sufficient.
700,The amount and quality of IT resources and support were sufficient for course activities.
700,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
700,The instructor encouraged student participation and questions in class.
700,The instructor presented the subject matter clearly.
700,The instructor was well-organized and prepared.
700,The overall quality of this course is
700,The overall teaching effectiveness of this instructor is
700,The workload for this course was appropriate for the breadth and depth of material covered.
700,This instructor’s availability for individual assistance is
700,This instructor’s demonstration of respect for students is
701,Expectations for student performance in the course were clearly defined.
701,"In-class course materials, assignments, and activities helped facilitate my learning."
701,Learning spaces were appropriate for course activities.
701,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
701,Please list suggestions for other ways to help facilitate student learning in this course. 
701,Please list the aspects of this course that helped to facilitate your learning
701,Student learning was fairly assessed.
701,The amount and quality of faculty/staff support were sufficient for course activities.
701,The amount and quality of formal formative feedback were sufficient.
701,The amount and quality of IT resources and support were sufficient for course activities.
701,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
701,The overall quality of this course is
701,The teaching in this course was effective.
701,The workload for this course was appropriate for the breadth and depth of material covered.
702,Please list any comments you have for this instructor.
702,The overall teaching effectiveness of this instructor is
702,This instructor’s availability for individual assistance is
702,This instructor’s demonstration of respect for students is
703, The amount and quality of clinical skills instruction were appropriate for the level of training.
703,Expectations for student performance in the course were clearly defined.
703,"In-class course materials, assignments, and activities helped facilitate my learning."
703,Learning spaces were appropriate for course activities. 
703,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
703,Please list any comments you have for this instructor. 
703,Please list suggestions for other ways to help facilitate student learning in this course. 
703,Please list the aspects of this course that helped to facilitate your learning
703,Student learning was fairly assessed.
703,The amount and quality of faculty/staff support were sufficient for course activities.
703,The amount and quality of formal formative feedback were sufficient.
703,The amount and quality of IT resources and support were sufficient for course activities.
703,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
703,The overall quality of this course is
703,The overall teaching effectiveness of this instructor is
703,The teaching in this course was effective.
703,The workload for this course was appropriate for the breadth and depth of material covered.
703,This instructor’s availability for individual assistance is
703,This instructor’s demonstration of respect for students is
704, The amount and quality of clinical skills instruction were appropriate for the level of training.
704,Expectations for student performance in the course were clearly defined.
704,"In-class course materials, assignments, and activities helped facilitate my learning."
704,Learning spaces were appropriate for course activities. 
704,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
704,Please list suggestions for other ways to help facilitate student learning in this course. 
704,Please list the aspects of this course that helped to facilitate your learning
704,Student learning was fairly assessed.
704,The amount and quality of faculty/staff support were sufficient for course activities.
704,The amount and quality of formal formative feedback were sufficient.
704,The amount and quality of IT resources and support were sufficient for course activities.
704,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
704,The overall quality of this course is
704,The teaching in this course was effective.
704,The workload for this course was appropriate for the breadth and depth of material covered.
705,Please list any comments you have for this instructor. 
705,The overall teaching effectiveness of this preceptor is
705,This instructor’s availability for individual assistance is
705,This instructor’s demonstration of respect for students is
706,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
706,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
706,Please list any comments you have for this instructor.
706,The overall teaching effectiveness of this instructor is
706,This instructor’s availability for individual assistance is
706,This instructor’s demonstration of respect for students is
707,Additional comments
707,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
707,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
707,Expectations for student performance in the course were clearly defined.
707,"In-class course materials, assignments, and activities helped facilitate my learning."
707,Learning spaces were appropriate for course activities.
707,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
707,Please list any comments you have for this instructor.
707,Please list suggestions for other ways to help facilitate student learning in this course. 
707,Please list the aspects of this course that helped to facilitate your learning
707,Student learning was fairly assessed.
707,The amount and quality of faculty/staff support were sufficient for course activities.
707,The amount and quality of formal formative feedback were sufficient.
707,The amount and quality of IT resources and support were sufficient for course activities.
707,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
707,The instructor encouraged student participation and questions in class.
707,The instructor presented the subject matter clearly.
707,The instructor was well-organized and prepared.
707,The overall quality of this course is
707,The overall teaching effectiveness of this instructor is
707,The workload for this course was appropriate for the breadth and depth of material covered.
707,This instructor’s availability for individual assistance is
707,This instructor’s demonstration of respect for students is
708, The amount and quality of clinical skills instruction were appropriate for the level of training.
708,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
708,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
708,Expectations for student performance in the course were clearly defined.
708,"In-class course materials, assignments, and activities helped facilitate my learning."
708,Learning spaces were appropriate for course activities. 
708,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
708,Please list any comments you have for this instructor. 
708,Please list suggestions for other ways to help facilitate student learning in this course. 
708,Please list the aspects of this course that helped to facilitate your learning
708,Student learning was fairly assessed.
708,The amount and quality of faculty/staff support were sufficient for course activities.
708,The amount and quality of formal formative feedback were sufficient.
708,The amount and quality of IT resources and support were sufficient for course activities.
708,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
708,The overall quality of this course is
708,The overall teaching effectiveness of this instructor is
708,The teaching in this course was effective.
708,The workload for this course was appropriate for the breadth and depth of material covered.
708,This instructor’s availability for individual assistance is
708,This instructor’s demonstration of respect for students is
709, The student mistreatment policy and procedures for reporting student mistreatment were provided and clearly outlined.
709,[<b>Discipline</b>] Specific content was integrated into other areas of the Longitudinal Integrated Clerkship.
709,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
709,"Clerkship leadership (site director, clerkship director, LIC director, etc.) was accessible and responsive to student problems encountered during this clerkship."
709,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
709,I participated in mid-clerkship feedback during this clerkship.
709,I was observed performing the relevant portions of the physical or mental status exam during this clerkship.
709,I was observed taking the relevant portions of the patient history during this clerkship
709,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this clerkship.
709,Please list any additional comments you have regarding this clerkship/course that have not been addressed above. 
709,Please list suggestions for other ways to help facilitate student learning in this clerkship.
709,Please list the aspects of this clerkship that you believe helped to facilitate your learning. 
709,The amount and quality of formative feedback was sufficient in this clerkship.
709,The amount and quality of supervision was appropriate in this clerkship
709,The clinical duty hours policy and procedures for reporting violations was provided and clearly outlined.
709,The clinical faculty provided effective teaching during this clerkship.
709,The objectives of this clerkship were provided and clearly stated.
709,The overall quality of this course is
709,The overall teaching effectiveness of this instructor is
709,The residents provided effective teaching during this clerkship (Please choose N/A if you did not work with residents during this clerkship).
709,The sessions within the academic half-day helped facilitate my clinical education.
709,This instructor’s availability for individual assistance is
709,This instructor’s demonstration of respect for students is
710,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
710,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
710,Expectations for student performance in the course were clearly defined.
710,"In-class course materials, assignments, and activities helped facilitate my learning."
710,Learning spaces were appropriate for course activities.
710,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
710,Please list any comments you have for this instructor.
710,Please list suggestions for other ways to help facilitate student learning in this course. 
710,Please list the aspects of this course that helped to facilitate your learning
710,Student learning was fairly assessed.
710,The amount and quality of faculty/staff support were sufficient for course activities.
710,The amount and quality of formal formative feedback were sufficient.
710,The amount and quality of IT resources and support were sufficient for course activities.
710,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
710,The overall quality of this course is
710,The overall teaching effectiveness of this instructor is
710,The teaching in this course was effective.
710,The workload for this course was appropriate for the breadth and depth of material covered.
710,This instructor’s availability for individual assistance is
710,This instructor’s demonstration of respect for students is
711, The amount and quality of clinical skills instruction were appropriate for the level of training.
711,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
711,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
711,Expectations for student performance in the course were clearly defined.
711,"In-class course materials, assignments, and activities helped facilitate my learning."
711,Learning spaces were appropriate for course activities. 
711,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning."
711,Please list any comments you have for this instructor.
711,Please list suggestions for other ways to help facilitate student learning in this course. 
711,Please list the aspects of this course that helped to facilitate your learning
711,Student learning was fairly assessed.
711,The amount and quality of faculty/staff support were sufficient for course activities.
711,The amount and quality of formal formative feedback were sufficient.
711,The amount and quality of IT resources and support were sufficient for course activities.
711,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.
711,The overall quality of this course is
711,The overall teaching effectiveness of this instructor is
711,The teaching in this course was effective.
711,The workload for this course was appropriate for the breadth and depth of material covered.
711,This instructor’s availability for individual assistance is
711,This instructor’s demonstration of respect for students is
712,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
712,Content was integrated across disciplines in Longitudinal Integrated Clerkship.
712,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
712,LIC Directors' demonstration of respect for students is
712,LIC Directors’ availability for individual assistance is
712,Please list any additional comments you have regarding LIC (as a whole) that have not been addressed above.
712,Please list suggestions for other ways to help facilitate student learning in LIC (as a whole).
712,Please list the aspects of LIC (as a whole) that you believe helped to facilitate your learning.
712,The clinical duty hours policy and procedures for reporting violations were provided and clearly outlined.
712,"The LIC director, academic half-day director, and TJFFCOM staff provide direction and constructive feedback."
712,"The LIC director, academic half-day director, and TJFFCOM staff respect diversity."
712,"The LIC director, academic half-day director, and TJFFCOM staff show respectful interactions with students."
712,The overall quality of this course is
712,The overall teaching effectiveness of LIC Directors is
712,The sessions within the academic half-day helped facilitate my clinical education.
712,"There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the LIC director, academic half-day director, and TJFFCOM staff."
713,Clerkship directors and TJFFCOM staff respect diversity.
713,Clerkship directors and TJFFCOM staff show respectful interactions with students.
713,Clerkship directors provide direction and constructive feedback.
713,"Clerkship leadership (site director, clerkship director, LIC director, etc.) was accessible and responsive to student problems encountered during this clerkship."
713,"I exceeded the duty hour limit during my clerkship (80 hours/ week on average over a 4-week period, 24 hours off every 2 weeks)."
713,I participated in mid-clerkship feedback with the clerkship directors and/or the LIC director during this clerkship.
713,I was observed performing the relevant portions of the physical or mental status exam during this clerkship.
713,I was observed taking the relevant portions of the patient history during this clerkship.
713,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this clerkship.
713,Please list any additional comments you have regarding this clerkship.
713,Please list suggestions for other ways to help facilitate student learning in this clerkship.
713,Please list the aspects of this clerkship that you believe helped to facilitate your learning.
713,Preceptors and residents provide direction and constructive feedback.
713,Preceptors and residents respect diversity.
713,Preceptors and residents show respectful interactions with students.
713,The amount of formative feedback was sufficient in this clerkship.
713,The objectives of this clerkship were provided and clearly stated.
713,The overall quality of this clerkship is
713,The quality of formative feedback was sufficient in this clerkship.
713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by clerkship directors and TJFFCOM staff.
713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors and residents.
714,Any other comments about this faculty member that have not been addressed elsewhere.
714,I observed this faculty member mistreating others.
714,Please list how this faculty member helped to facilitate your learning.
714,Please list suggestions on how this faculty member could help facilitate student learning.
714,The overall teaching effectiveness of this instructor is
714,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
714,This faculty member provided direction and constructive feedback.
714,This faculty member respects diversity.
714,This faculty member showed respectful interactions with students.
714,This instructor’s availability for individual assistance is
714,This instructor’s demonstration of respect for all students is
716,Any other comments about this faculty member that have not been addressed elsewhere.
716,Clerkship directors and TJFFCOM staff respect diversity.
716,Clerkship directors and TJFFCOM staff show respectful interactions with students.
716,Clerkship directors provide direction and constructive feedback.
716,"Clerkship leadership (site director, clerkship director, LIC director, etc.) was accessible and responsive to student problems encountered during this clerkship."
716,"I exceeded the duty hour limit during my clerkship (80 hours/ week on average over a 4-week period, 24 hours off every 2 weeks)."
716,I observed this faculty member mistreating others.
716,I participated in mid-clerkship feedback with the clerkship directors and/or the LIC director during this clerkship.
716,I was observed performing the relevant portions of the physical or mental status exam during this clerkship.
716,I was observed taking the relevant portions of the patient history during this clerkship.
716,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this clerkship.
716,Please list any additional comments you have regarding this clerkship.
716,Please list how this faculty member helped to facilitate your learning.
716,Please list suggestions for other ways to help facilitate student learning in this clerkship.
716,Please list suggestions on how this faculty member could help facilitate student learning.
716,Please list the aspects of this clerkship that you believe helped to facilitate your learning.
716,Preceptors and residents provide direction and constructive feedback.
716,Preceptors and residents respect diversity.
716,Preceptors and residents show respectful interactions with students.
716,The amount of formative feedback was sufficient in this clerkship.
716,The objectives of this clerkship were provided and clearly stated.
716,The overall quality of this (clerkship) course is
716,The overall teaching effectiveness of this instructor is
716,The quality of formative feedback was sufficient in this clerkship.
716,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by clerkship directors and TJFFCOM staff.
716,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors and residents.
716,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
716,This faculty member provided direction and constructive feedback.
716,This faculty member respects diversity.
716,This faculty member showed respectful interactions with students.
716,This instructor’s availability for individual assistance is
716,This instructor’s demonstration of respect for all students is
717,Any other comments about this faculty member that have not been addressed elsewhere.
717,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
717,Content was integrated across disciplines in Longitudinal Integrated Clerkship.
717,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
717,I observed this faculty member mistreating others.
717,Please list any additional comments you have regarding LIC (as a whole) that have not been addressed above.
717,Please list how this faculty member helped to facilitate your learning.
717,Please list suggestions for other ways to help facilitate student learning in LIC (as a whole).
717,Please list suggestions on how this faculty member could help facilitate student learning.
717,Please list the aspects of LIC (as a whole) that you believe helped to facilitate your learning.
717,The clinical duty hours policy and procedures for reporting violations were provided and clearly outlined.
717,"The LIC director, academic half-day director, and TJFFCOM staff provide direction and constructive feedback."
717,"The LIC director, academic half-day director, and TJFFCOM staff respect diversity."
717,"The LIC director, academic half-day director, and TJFFCOM staff show respectful interactions with students."
717,The overall teaching effectiveness of this instructor is
717,The sessions within the academic half-day helped facilitate my clinical education.
717,"There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the LIC director, academic half-day director, and TJFFCOM staff."
717,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
717,This faculty member provided direction and constructive feedback.
717,This faculty member respects diversity.
717,This faculty member showed respectful interactions with students.
717,This instructor’s availability for individual assistance is
717,This instructor’s demonstration of respect for all students is
718,Active learning sessions facilitated my learning.
718,Course director(s) was/were accessible to address student concerns during the course.
718,Course objectives were provided and clearly stated.
718,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
718,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
718,Opportunities for quality and timely formative feedback were provided.
